key_resp.keys,key_resp.corr,key_resp.rt,tilt,,,hit,miss,FA,corr rej
up,1,0.5031712,0,,,1,0,0,0
down,1,0.6579614,3,,,0,0,0,1
up,1,0.3098324,0,,,1,0,0,0
up,1,0.4655122,0,,,1,0,0,0
down,0,0.4777781,-5,,,0,0,1,0
down,1,0.9707132,4,,,0,0,0,1
up,0,0.4396616,2,,,0,1,0,0
up,1,0.7503651,0,,,1,0,0,0
up,0,0.7989125,3,,,0,1,0,0
down,1,0.7745238,-2,,,0,0,0,1
up,0,0.5424876,2,,,0,1,0,0
up,1,0.4889389,0,,,1,0,0,0
down,1,0.6618902,4,,,0,0,0,1
up,0,0.3880245,2,,,0,1,0,0
up,1,0.9344377,0,,,1,0,0,0
up,1,0.5020444,0,,,1,0,0,0
up,1,0.9171845,0,,,1,0,0,0
up,0,0.5976767,2,,,0,1,0,0
down,1,1.1930715,-3,,,0,0,0,1
down,1,0.9358537,3,,,0,0,0,1
down,1,1.1948183,-5,,,0,0,0,1
up,1,0.6400351,0,,,1,0,0,0
up,0,1.0221731,2,,,0,1,0,0
down,1,0.5177945,-3,,,0,0,0,1
up,1,0.9977782,0,,,1,0,0,0
up,1,0.9055016,0,,,1,0,0,0
up,1,0.825085,0,,,1,0,0,0
up,1,0.5993986,-2,,,1,0,0,0
up,1,0.5695044,0,,,1,0,0,0
up,1,0.5481324,-2,,,1,0,0,0
up,1,0.7570411,-3,,,1,0,0,0
up,1,1.1682041,0,,,1,0,0,0
down,0,1.0501859,-4,,,0,0,1,0
up,1,0.5454718,0,,,1,0,0,0
up,0,0.5947523,2,,,0,1,0,0
up,1,0.8823784,0,,,1,0,0,0
up,1,0.5666168,0,,,1,0,0,0
up,1,5.549066,0,,,1,0,0,0
up,1,0.8704655,0,,,1,0,0,0
up,1,0.9348684,-4,,,1,0,0,0
up,1,0.5908982,0,,,1,0,0,0
down,1,0.6676807,4,,,0,0,0,1
up,1,0.3514332,0,,,1,0,0,0
up,1,0.6897394,0,,,1,0,0,0
up,0,0.8265405,4,,,0,1,0,0
up,0,0.60363,-3,,,0,1,0,0
down,1,0.9055822,-5,,,0,0,0,1
up,1,0.7427452,0,,,1,0,0,0
down,1,0.814079,4,,,0,0,0,1
up,1,0.5437369,0,,,1,0,0,0
up,0,1.1280947,3,,,0,1,0,0
up,1,0.6537215,0,,,1,0,0,0
up,0,0.3636443,1,,,0,1,0,0
down,1,0.6311437,-4,,,0,0,0,1
up,1,0.3369939,0,,,1,0,0,0
up,1,0.3877089,0,,,1,0,0,0
up,1,0.3196058,-2,,,1,0,0,0
,,,,,,,,,
,,,,,,113,20,23,44
