pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,Line_1.started,Line_2.started,Line_3.started,Line_4.started,fixation.stopped,Probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,0.5794791000007535,None,0,0,0,0,,,,,0.013049499999397085,,0.00926909999907366,0.013049499999397085,0.98966400000063,0.98966400000063,0.98966400000063,0.98966400000063,1.0034455999993952,1.9961681999993743,1.9961681999993743,2.6079962000003434,x,1,0.5794791000007535,None,,,,,417450,001,2025-10-05_03h23.15.756,Motor Learning,2024.2.4,143.68518002630748,2025-10-05 03h23.22.646866 +0530,
150,v,1,1,0,v,1,0.5041983999999502,None,0,1,1,1,,,,,2.612329800000225,,2.608396999999968,2.612329800000225,3.6000638999994408,3.6000638999994408,3.6000638999994408,3.6000638999994408,3.607065500000317,4.599982800000362,4.599982800000362,5.108094699999128,v,1,0.5041983999999502,None,,,,,417450,001,2025-10-05_03h23.15.756,Motor Learning,2024.2.4,143.68518002630748,2025-10-05 03h23.22.646866 +0530,
50,c,2,2,0,c,1,0.5332471000001533,None,0,2,2,2,,,,,5.113766599999508,,5.108459099999891,5.113766599999508,6.099770799999533,6.099770799999533,6.099770799999533,6.099770799999533,6.106840899999952,7.099555900000269,7.099555900000269,7.635427699999127,c,1,0.5332471000001533,None,,,,,417450,001,2025-10-05_03h23.15.756,Motor Learning,2024.2.4,143.68518002630748,2025-10-05 03h23.22.646866 +0530,
-150,z,3,3,0,z,1,0.3195350000005419,None,0,3,3,3,,,,,7.6413962000005995,,7.635779500000353,7.6413962000005995,8.627472699999998,8.627472699999998,8.627472699999998,8.627472699999998,8.634501500000624,9.627110899999025,9.627110899999025,9.948100600000544,z,1,0.3195350000005419,None,,,,,417450,001,2025-10-05_03h23.15.756,Motor Learning,2024.2.4,143.68518002630748,2025-10-05 03h23.22.646866 +0530,
-50,x,4,0,1,x,1,0.8338177999994514,None,1,0,4,0,,,,,9.953362500000367,,9.948852999999872,9.953362500000367,10.939337100000557,10.939337100000557,10.939337100000557,10.939337100000557,10.946350399999574,11.939179400000285,11.939179400000285,12.774674599999344,x,1,0.8338177999994514,None,,,,,417450,001,2025-10-05_03h23.15.756,Motor Learning,2024.2.4,143.68518002630748,2025-10-05 03h23.22.646866 +0530,
150,v,5,1,1,v,1,0.3701889999993,None,1,1,5,1,,,,,12.779484400000001,,12.77505740000015,12.779484400000001,13.765554899999188,13.765554899999188,13.765554899999188,13.765554899999188,13.77260380000007,14.765370099999927,14.765370099999927,15.142020299999785,v,1,0.3701889999993,None,,,,,417450,001,2025-10-05_03h23.15.756,Motor Learning,2024.2.4,143.68518002630748,2025-10-05 03h23.22.646866 +0530,
50,c,6,2,1,c,1,0.8870021000002453,None,1,2,6,2,,,,,15.147766599999159,,15.142335000000458,15.147766599999159,16.133491099999446,16.133491099999446,16.133491099999446,16.133491099999446,16.14070989999891,17.133289199999126,17.133289199999126,18.02382480000051,c,1,0.8870021000002453,None,,,,,417450,001,2025-10-05_03h23.15.756,Motor Learning,2024.2.4,143.68518002630748,2025-10-05 03h23.22.646866 +0530,
-150,z,7,3,1,z,1,0.6315959999992629,None,1,3,7,3,,,,,18.029445500000293,,18.024170499998945,18.029445500000293,19.014797300000282,19.014797300000282,19.014797300000282,19.014797300000282,19.021730700000262,20.01471549999951,20.01471549999951,20.64782279999963,z,1,0.6315959999992629,None,,,,,417450,001,2025-10-05_03h23.15.756,Motor Learning,2024.2.4,143.68518002630748,2025-10-05 03h23.22.646866 +0530,
-50,x,8,0,2,x,1,0.6714255000006233,None,2,0,8,0,,,,,20.653425599999537,,20.6482632999996,20.653425599999537,21.63930579999942,21.63930579999942,21.63930579999942,21.63930579999942,21.646218800000497,22.639191700000083,22.639191700000083,23.313810800000283,x,1,0.6714255000006233,None,,,,,417450,001,2025-10-05_03h23.15.756,Motor Learning,2024.2.4,143.68518002630748,2025-10-05 03h23.22.646866 +0530,
150,v,9,1,2,v,1,0.8337454000011348,None,2,1,9,1,,,,,23.319420399999217,,23.314123399999517,23.319420399999217,24.305469700000685,24.305469700000685,24.305469700000685,24.305469700000685,24.31245510000008,25.305427999999665,25.305427999999665,26.141207499998927,v,1,0.8337454000011348,None,,,,,417450,001,2025-10-05_03h23.15.756,Motor Learning,2024.2.4,143.68518002630748,2025-10-05 03h23.22.646866 +0530,
50,c,10,2,2,c,1,0.7255895999987843,None,2,2,10,2,,,,,26.145716099999845,,26.14158580000003,26.145716099999845,27.13157659999888,27.13157659999888,27.13157659999888,27.13157659999888,27.138481500000125,28.13166470000033,28.13166470000033,28.861046500000157,c,1,0.7255895999987843,None,,,,,417450,001,2025-10-05_03h23.15.756,Motor Learning,2024.2.4,143.68518002630748,2025-10-05 03h23.22.646866 +0530,
-150,z,11,3,2,z,1,0.6522937000008824,None,2,3,11,3,,,,,28.867256100000304,,28.86130039999989,28.867256100000304,29.85351830000036,29.85351830000036,29.85351830000036,29.85351830000036,29.86050129999967,30.853386999999202,30.853386999999202,31.507207099999505,z,1,0.6522937000008824,None,,,,,417450,001,2025-10-05_03h23.15.756,Motor Learning,2024.2.4,143.68518002630748,2025-10-05 03h23.22.646866 +0530,
