pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,Line_1.started,Line_2.started,Line_3.started,Line_4.started,fixation.stopped,Probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,x,1,2.006357999998727,None,0,0,0,0,,,,,0.021133699992788024,,0.01749980000022333,0.021133699992788024,0.9925323999923421,0.9925323999923421,0.9925323999923421,0.9925323999923421,1.0133121999970172,1.9924845000059577,1.9924845000059577,4.009530399998766,x,1,2.006357999998727,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
150,v,1,1,0,c,0,1.1138694999972358,None,0,1,1,1,,,,,4.014402100001462,,4.009896599993226,4.014402100001462,5.005798099999083,5.005798099999083,5.005798099999083,5.005798099999083,5.005798099999083,6.005681599999662,6.005681599999662,7.1249037999950815,c,0,1.1138694999972358,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
50,c,2,2,0,x,0,1.2914752999931807,None,0,2,2,2,,,,,7.130357400004868,,7.125309199996991,7.130357400004868,8.116531299994676,8.116531299994676,8.116531299994676,8.116531299994676,8.123322500003269,9.116294199993717,9.116294199993717,10.409791900005075,x,0,1.2914752999931807,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
-150,z,3,3,0,z,1,6.332487300009234,None,0,3,3,3,,,,,10.414845199993579,,10.410202600003686,10.414845199993579,11.400758699994185,11.400758699994185,11.400758699994185,11.400758699994185,11.407774299994344,12.400499900002615,12.400499900002615,18.734738500003004,z,1,6.332487300009234,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
-50,x,4,0,1,x,1,1.0752248999924632,None,1,0,4,0,,,,,18.739832299994305,,18.735117899996112,18.739832299994305,19.725831899995683,19.725831899995683,19.725831899995683,19.725831899995683,19.732753699994646,20.72582589999365,20.72582589999365,21.8035785999964,x,1,1.0752248999924632,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
150,v,5,1,1,v,1,0.7142587999987882,None,1,1,5,1,,,,,21.808742299996084,,21.80406260000018,21.808742299996084,22.794680099992547,22.794680099992547,22.794680099992547,22.794680099992547,22.80178189999424,23.79465349999373,23.79465349999373,24.511538499995368,v,1,0.7142587999987882,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
50,c,6,2,1,c,1,0.8683683999988716,None,1,2,6,2,,,,,24.516845499994815,,24.511943899997277,24.516845499994815,25.502883199995267,25.502883199995267,25.502883199995267,25.502883199995267,25.509827699992456,26.5025328000047,26.5025328000047,27.372681799999555,c,1,0.8683683999988716,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
-150,z,7,3,1,z,1,0.7860980999976164,None,1,3,7,3,,,,,27.377534600003855,,27.37307420000434,27.377534600003855,28.363733299993328,28.363733299993328,28.363733299993328,28.363733299993328,28.37024879999808,29.363357800000813,29.363357800000813,30.156944899994414,z,1,0.7860980999976164,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
-50,x,8,0,2,x,1,0.6191405999998096,None,2,0,8,0,,,,,30.162385499992524,,30.157292300005793,30.162385499992524,31.147847300002468,31.147847300002468,31.147847300002468,31.147847300002468,31.15487879999273,32.147482500004116,32.147482500004116,32.77325660000497,x,1,0.6191405999998096,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
150,v,9,1,2,v,1,0.779709800001001,None,2,1,9,1,,,,,32.77926779999689,,32.77347469999222,32.77926779999689,33.76548439999169,33.76548439999169,33.76548439999169,33.76548439999169,33.772346700003254,34.76530769999954,34.76530769999954,35.55174189999525,v,1,0.779709800001001,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
50,c,10,2,2,c,1,0.5143726000096649,None,2,2,10,2,,,,,35.55704549999791,,35.55215990000579,35.55704549999791,36.54304129999946,36.54304129999946,36.54304129999946,36.54304129999946,36.54978349999874,37.54268640000373,37.54268640000373,38.05893749999814,c,1,0.5143726000096649,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
-150,z,11,3,2,z,1,0.5588477999990573,None,2,3,11,3,,,,,38.06336879999435,,38.05934019999404,38.06336879999435,39.049473999999464,39.049473999999464,39.049473999999464,39.049473999999464,39.05636839999352,40.0493523000041,40.0493523000041,40.613356599991675,z,1,0.5588477999990573,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
-50,x,12,0,3,x,1,0.5251035999972373,None,3,0,12,0,,,,,40.61878699999943,,40.61375289999705,40.61878699999943,41.604385500002536,41.604385500002536,41.604385500002536,41.604385500002536,41.61147550000169,42.60442279999552,42.60442279999552,43.1337663000013,x,1,0.5251035999972373,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
150,v,13,1,3,v,1,0.5833156000007875,None,3,1,13,1,,,,,43.139123600005405,,43.13417190000473,43.139123600005405,44.12498429999687,44.12498429999687,44.12498429999687,44.12498429999687,44.13197550000041,45.124882499992964,45.124882499992964,45.71001049999904,v,1,0.5833156000007875,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
50,c,14,2,3,c,1,1.194280699986848,None,3,2,14,2,,,,,45.71501509999507,,45.71043120000104,45.71501509999507,46.70111209999595,46.70111209999595,46.70111209999595,46.70111209999595,46.70795860000362,47.700892199994996,47.700892199994996,48.89727069999208,c,1,1.194280699986848,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
-150,z,15,3,3,z,1,0.5381079000071622,None,3,3,15,3,,,,,48.90202649999992,,48.89774949999992,48.90202649999992,49.888149099992006,49.888149099992006,49.888149099992006,49.888149099992006,49.895047500001965,50.88798689999385,50.88798689999385,51.4307387000008,z,1,0.5381079000071622,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
-50,x,16,0,4,x,1,0.5877057000034256,None,4,0,16,0,,,,,51.43638460000511,,51.431076199995005,51.43638460000511,52.42258800000127,52.42258800000127,52.42258800000127,52.42258800000127,52.42946289999236,53.42245240000193,53.42245240000193,54.0141142999928,x,1,0.5877057000034256,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
150,v,17,1,4,c,0,0.6031152999930782,None,4,1,17,1,,,,,54.019514500003424,,54.01448129999335,54.019514500003424,55.005610799998976,55.005610799998976,55.005610799998976,55.005610799998976,55.012523400000646,56.00551529999939,56.00551529999939,56.611441200002446,c,0,0.6031152999930782,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
50,c,18,2,4,c,1,0.8167443999991519,None,4,2,18,2,,,,,56.61628159999964,,56.61180479999166,56.61628159999964,57.60232520000136,57.60232520000136,57.60232520000136,57.60232520000136,57.60929649999889,58.602104699995834,58.602104699995834,59.42317829999956,c,1,0.8167443999991519,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
-150,z,19,3,4,z,1,0.5066057000076398,None,4,3,19,3,,,,,59.428521199995885,,59.42353749999893,59.428521199995885,60.41472050000448,60.41472050000448,60.41472050000448,60.41472050000448,60.42136500000197,61.41435389999242,61.41435389999242,61.922981900002924,z,1,0.5066057000076398,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
-50,x,20,0,5,x,1,0.6853548999933992,None,5,0,20,0,,,,,61.92794569999387,,61.92351090000011,61.92794569999387,62.91407519999484,62.91407519999484,62.91407519999484,62.91407519999484,62.92107690000557,63.91400319999957,63.91400319999957,64.60305239999434,x,1,0.6853548999933992,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
150,v,21,1,5,v,1,0.862683700004709,None,5,1,21,1,,,,,64.60831640000106,,64.60352319999947,64.60831640000106,65.59430409999914,65.59430409999914,65.59430409999914,65.59430409999914,65.6011514999991,66.59406889999809,66.59406889999809,67.46326029999182,v,1,0.862683700004709,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
50,c,22,2,5,c,1,1.190326099997037,None,5,2,22,2,,,,,67.4688851999963,,67.46367499999178,67.4688851999963,68.45494120000512,68.45494120000512,68.45494120000512,68.45494120000512,68.46174790000077,69.45467150000331,69.45467150000331,70.65036879999388,c,1,1.190326099997037,None,,,,,048011,001,2025-10-05_22h24.32.993,Motor Learning,2024.2.4,144.09388007182923,2025-10-05 22h25.27.352506 +0530,
