stairs.thisTrialN,stairs.stepSize,stairs.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stairs.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
62,0.5,1.5,96.79173969989643,,96.7866628000047,96.79173969989643,97.27800119994208,97.27800119994208,97.28522749990225,97.56945639988407,97.97374169994146,left,-1.5,1,1,0.6884064001496881,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
63,0.5,1.5,97.97907919995487,,97.97401060000993,97.97907919995487,98.46555399987847,98.46555399987847,98.47240470000543,98.75682460004464,99.04324709996581,right,1.5,1,1,0.5738783997949213,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
64,0.5,1.0,99.04851079988293,,99.04349790001288,99.04851079988293,99.53495989996009,99.53495989996009,99.541725799907,99.8261698000133,100.18885989999399,left,-1.0,1,1,0.6520485000219196,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
65,0.5,1.0,100.19438380002975,,100.18908459995873,100.19438380002975,100.68037130008452,100.68037130008452,100.68726400006562,100.97162800002843,101.39737659995444,left,-1.0,1,1,0.7147492000367492,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
66,0.5,1.0,101.40219930000603,,101.39758219989017,101.40219930000603,101.88858349993825,101.88858349993825,101.89550009998493,102.17997559998184,102.54919279995374,right,1.0,1,1,0.6547195999883115,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
67,0.5,1.0,102.55486899986863,,102.5494051000569,102.55486899986863,103.04112789989449,103.04112789989449,103.04811939992942,103.33250929997303,103.72253190004267,left,-1.0,1,1,0.6759297999087721,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
68,0.5,1.0,103.72829280002043,,103.72270249994472,103.72829280002043,104.21461590006948,104.21461590006948,104.22134419996291,104.50598050002009,104.85406789998524,right,1.0,1,1,0.6357485998887569,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
69,0.5,1.0,104.86009799991734,,104.85423290007748,104.86009799991734,105.34637450007722,105.34637450007722,105.35319179994985,105.63781320000999,105.77154250000603,left,-1.0,1,1,0.42141590011306107,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
70,0.5,1.0,105.77656919998117,,105.77178970002569,105.77656919998117,106.26296099997126,106.26296099997126,106.26984439999796,106.55442889989354,106.81331990007311,right,1.0,1,1,0.5483758999034762,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
71,0.5,1.0,106.81813959986903,,106.81353450007737,106.81813959986903,107.30433740001172,107.30433740001172,107.31140140001662,107.59583060001023,107.92413170007057,right,1.0,1,1,0.6132726999931037,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
72,0.5,1.0,107.9290517999325,,107.92444420000538,107.9290517999325,108.4155216999352,108.4155216999352,108.4222583998926,108.70674910000525,109.06288450001739,left,-1.0,1,1,0.6452234000898898,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
73,0.5,1.0,109.0679228999652,,109.06311309989542,109.0679228999652,109.55418620002456,109.55418620002456,109.56114050000906,109.84606439992785,110.52069590007886,left,-1.0,1,1,0.9612118999939412,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
74,0.5,1.0,110.5257447999902,,110.5209325000178,110.5257447999902,111.0122767998837,111.0122767998837,111.01916870009154,111.3036861999426,111.6038679999765,right,1.0,1,1,0.5844835999887437,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
75,0.5,1.0,111.60899119987153,,111.60416490002535,111.60899119987153,112.09546620002948,112.09546620002948,112.10237869992852,112.3868295000866,112.77775719994679,right,1.0,1,1,0.6800967000890523,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
76,0.5,1.0,112.7825734000653,,112.7779739999678,112.7825734000653,113.26890020002611,113.26890020002611,113.27558079990558,113.5603879999835,113.90150979999453,right,1.0,1,1,0.6285408001858741,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
77,0.5,1.0,113.90731050004251,,113.90169940004125,113.90731050004251,114.39348269999027,114.39348269999027,114.40045020007528,114.68512449995615,115.06828200002201,right,1.0,1,1,0.6716004000045359,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
78,0.5,1.0,115.07384159998037,,115.06850180006586,115.07384159998037,115.56020479998551,115.56020479998551,115.56699909991585,115.85135439992882,116.1238963000942,right,1.0,1,1,0.5610927999950945,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
79,0.5,1.0,116.12920830002986,,116.12401819997467,116.12920830002986,116.61518800002523,116.61518800002523,116.62211290001869,116.90727000008337,117.25686839991249,left,-1.0,1,1,0.6384105999022722,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
80,0.5,1.0,117.2614410999231,,117.25710060005076,117.2614410999231,117.74732830002904,117.74732830002904,117.75428489991464,118.03863590001129,118.38132019992918,right,1.0,1,1,0.6319365999661386,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
81,0.5,1.0,118.3858342000749,,118.38156079989858,118.3858342000749,118.8722244000528,118.8722244000528,118.87898939987645,119.16363970004022,119.42939989990555,right,1.0,1,1,0.5496837000828236,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
82,0.5,1.0,119.43434490007348,,119.42963739996776,119.43434490007348,119.92052839999087,119.92052839999087,119.92746869986877,120.21184769994579,120.53364100004546,right,1.0,1,1,0.6049852001015097,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
83,0.5,1.0,120.5382888999302,,120.53383579989895,120.5382888999302,121.0245222998783,121.0245222998783,121.03154350002296,121.316025899956,121.67814989993349,right,1.0,1,1,0.6490216001402587,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
84,0.5,1.0,121.68412250000983,,121.67828799993731,121.68412250000983,122.17009499995038,122.17009499995038,122.17718359990977,122.46158519992605,122.782682799967,left,-1.0,1,1,0.6054695001803339,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
85,0.5,1.0,122.78799619991332,,122.78289550007321,122.78799619991332,123.27424900000915,123.27424900000915,123.28105910005979,123.56580629991367,123.75470610009506,right,1.0,1,1,0.4769540000706911,369261,001,2025-08-28_10h22.21.260,staircase,2024.2.4,143.84949890641897,2025-08-28 10h22.29.503682 +0530,
